206,0,25,RED
128,24,24,RED
174,32,26,RED
61,13,3,RED
253,15,53,RED
207,16,32,RED
148,17,0,RED
67,3,3,RED
115,1,19,RED
220,0,3,RED
157,4,67,RED
255,0,13,RED
207,16,32,RED
208,28,31,RED
119,0,1,RED
204,22,0,RED
254,0,0,RED
132,0,0,RED
209,23,23,RED
176,5,75,RED
139,0,0,RED
148,17,0,RED
132,0,0,RED
144,0,32,RED
254,0,2,RED
252,234,4,RED
255,242,39,RED
246,191,39,RED
255,255,20,RED
255,254,64,RED
252,209,22,RED
255,253,1,RED
223,255,79,RED
254,242,0,RED
255,254,122,RED
255,255,17,RED
255,227,2,RED
255,255,51,RED
253,220,92,RED
252,252,93,RED
213,182,10,RED
255,166,0,RED
255,215,12,RED
255,252,121,RED
249,217,94,RED
247,224,23,RED
255,255,49,RED
255,183,9,RED
255,255,0,RED
254,255,127,RED
0,128,1,RED
3,53,0,RED
17,87,74,RED
0,107,60,RED
86,130,3,RED
0,255,0,RED
102,255,0,RED
33,83,54,RED
51,184,100,RED
159,217,140,RED
125,194,75,RED
84,172,104,RED
0,128,1,RED
0,100,0,RED
35,67,17,RED
60,141,13,RED
0,166,82,RED
118,181,131,RED
33,83,54,RED
0,100,0,RED
102,205,170,RED
37,202,38,RED
64,189,85,RED
123,252,1,RED
125,232,88,RED
255,112,52,RED
254,103,0,RED
255,53,3,RED
255,127,0,RED
255,153,0,RED
255,122,1,RED
255,103,0,RED
255,102,0,RED
255,141,40,RED
235,97,35,RED
252,79,19,RED
255,102,0,RED
253,111,59,RED
255,113,36,RED
255,128,0,RED
254,101,33,RED
255,95,0,RED
255,160,0,RED
254,103,0,RED
255,103,0,RED
255,117,24,RED
255,127,0,RED
255,165,0,RED
255,87,33,RED
255,53,3,RED
242,233,228,RED
198,197,198,RED
249,255,241,RED
238,228,220,RED
214,215,210,RED
217,223,224,RED
253,251,251,RED
197,198,199,RED
242,233,228,RED
192,198,201,RED
182,180,181,RED
173,173,173,RED
236,236,236,RED
243,239,227,RED
188,192,204,RED
159,159,159,RED
201,202,209,RED
223,226,232,RED
191,200,195,RED
255,237,231,RED
205,204,208,RED
219,220,222,RED
185,187,184,RED
192,192,192,RED
250,240,230,RED
229,224,221,RED
191,189,193,RED
210,209,205,RED
248,249,254,RED
9,0,0,RED
5,5,5,RED
36,29,33,RED
47,47,47,RED
28,29,33,RED
1,2,7,RED
49,54,57,RED
0,0,0,RED
4,0,8,RED
4,7,7,RED
8,8,8,RED
17,0,17,RED
4,0,8,RED
1,2,7,RED
37,37,37,RED
10,5,2,RED
28,28,28,RED
10,18,13,RED
29,24,23,RED
27,32,35,RED
0,0,0,RED
23,23,23,RED
10,5,2,RED
9,0,0,RED
40,39,45,RED
109,169,210,RED
3,91,188,RED
0,0,255,RED
0,51,119,RED
12,191,233,RED
0,0,154,RED
0,0,255,RED
0,72,186,RED
36,160,237,RED
65,253,254,RED
2,0,53,RED
132,179,231,RED
6,42,120,RED
26,193,221,RED
132,173,219,RED
1,119,193,RED
0,117,179,RED
0,48,143,RED
15,59,87,RED
0,127,255,RED
0,119,179,RED
34,130,168,RED
1,101,252,RED
25,116,210,RED
79,115,142,RED
1,56,106,RED
161,114,73,RED
89,60,57,RED
149,69,53,RED
111,78,55,RED
152,98,60,RED
135,110,75,RED
159,125,79,RED
74,44,42,RED
127,98,68,RED
159,129,112,RED
115,98,74,RED
187,136,85,RED
150,75,0,RED
204,136,51,RED
122,106,79,RED
133,94,66,RED
158,91,64,RED
176,114,74,RED
182,158,135,RED
126,57,47,RED
123,63,0,RED
184,122,89,RED
168,121,0,RED
226,194,142,RED
153,102,51,RED
244,194,194,RED
255,192,203,RED
253,108,158,RED
242,163,189,RED
248,131,121,RED
255,20,147,RED
231,84,128,RED
255,4,144,RED
255,166,201,RED
255,102,204,RED
246,144,157,RED
252,142,172,RED
255,209,220,RED
238,109,138,RED
255,183,197,RED
255,153,153,RED
255,167,197,RED
169,64,100,RED
255,119,255,RED
255,193,204,RED
255,182,193,RED
252,108,133,RED
253,108,158,RED
255,105,180,RED
222,93,131,RED
145,0,255,RED
156,81,182,RED
137,69,133,RED
145,0,255,RED
65,0,86,RED
154,44,160,RED
127,62,152,RED
122,84,127,RED
188,19,254,RED
127,0,255,RED
183,144,212,RED
127,0,255,RED
164,66,160,RED
191,119,246,RED
173,10,253,RED
120,81,169,RED
159,0,255,RED
191,0,255,RED
114,0,88,RED
75,0,130,RED
204,0,255,RED
128,55,144,RED
158,67,162,RED
181,110,220,RED
128,0,128,RED
